,Unnamed: 0,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Payday Loan,Credit-Builder Loan,Mortgage Loan,Debt Consolidation Loan,Student Loan,Home Equity Loan,Auto Loan,Personal Loan,Not Specified,Credit_Score,Payment_of_Min_Amount
1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,,,,,,,,,,3478.0,,,,,,,,,,,,,,,,,,,
1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,,,,,,1191.0,,,,,,,,,,,10000.0,,,,,,,,,,,,
1616,,,,,,,,,,2420.0,,,,,,,,,,,,,,,,,,,
1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,,,,,,,,,,,,2006.0,,,,,10000.0,,,,,,,,,,,,
1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,,,,,,,,,,,,,,,,21784.0,,,,,,,,,,,,,
1624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,,,,,,,,,,,,,,,,58579.0,,,,,,,,,,,,,
1628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,,,,,,,,,,,,,,,,3510.0,,,,,,,,,,,,,
1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,,,,,,,2621.0,,,,,,,,,,,1041.07619,,,,,,,,,,,
1641,,,,,,,,,,,,,,,,,,1008.328592,,,,,,,,,,,
1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,,,,,,,,,,,,,,,,,,1008.589307,,,,,,,,,,,
1644,,,,,,,,,,,,,,,,,772.9155703,,,,,,,,,,,,
1645,,,,,,,,,,,,,,,,,,922.7535325,,,,,,,,,,,
1646,,,,,,,,,,,,,,,,,864.1250783,,,,,,,,,,,,
1647,,,,,,,,,,,,,,,,,,968.8022783,,,,,,,,,,,
1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,,-500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,,8352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,,-500.0,,,,,,100.0,,,,,,,,,10000.0,,,,,,,,,,,,
1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
1660,,,,,,,,,,,,,,,,,603.642868,,,,,,,,,,,,
1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
1663,,,,,,,2866.0,,,,,,,,,,711.0597508,,,,,,,,,,,,
1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,,3734.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,
1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,,,,,,1292.0,,,,,,,,,,,,,,,,,,,,,,,
1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,
1676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,
1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,,,,,,,,,,,,,,,,,,811.7675506,,,,,,,,,,,
1683,,,,,,,,,,,,,,,,,,826.3197331,,,,,,,,,,,
1684,,,,,,,,,,,,,,,,,676.2741447,,,,,,,,,,,,
1685,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,,,,,,,,,,,,,,,,,,840.8985688,,,,,,,,,,,
1688,,,,,,,,,,,,,,,,,,995.9131597,,,,,,,,,,,
1689,,,,,,,,,,,,,,,,,,801.7085965,,,,,,,,,,,
1690,,,,,,,,,,,,,,,,,,997.635459,,,,,,,,,,,
1691,,,,,,,,,,,,,,,,,,942.1015144,,,,,,,,,,,
1692,,,,,,,,,,,,,,,,,,848.5729993,,,,,,,,,,,
1693,,,,,,,,,,,,,,,,,945.3157293,,,,,,,,,,,,
1694,,,,,,,,,,,,,,,,,,1046.53796,,,,,,,,,,,
1695,,,,,,,,,,,,,,,,,,944.3986807,,,,,,,,,,,
1696,,-500.0,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,
1697,,,,,1620.0,,,,62.0,,,,,,,,,,,,,,,,,,,,
1698,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,
1699,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,
1700,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,
1701,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,
1702,,,,,,1112.0,,,62.0,,,,,,,,,,,,,,,,,,,,
1703,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,
1704,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,
1705,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,
1706,,,21246612.0,,,,,,59.0,,,,,,,,,,,,,,,,,,,,
1707,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,
1708,,,,,,496.0,,,59.0,,,,,,,,,,,,,,,,,,,,
1709,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,
1710,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,
1711,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,
1712,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,
1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,,,,,,,,,,,,,,,,55488.0,,,,,,,,,,,,,
1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,
1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,,,173196.32,14258.02667,,,,,,,,,,,,,,1191.373157,,,,,,,,,,,
1729,,,173196.32,14258.02667,,,,,,,,,,,,,,1108.416134,,,,,,,,,,,
1730,,,173196.32,14258.02667,,,,,,,,,,,,,,1284.300414,,,,,,,,,,,
1731,,,173196.32,14258.02667,,,,,,,,,,,,,,1419.318047,,,,,,,,,,,
1732,,,173196.32,14258.02667,,,,,,,,,,,,,,1209.909074,,,,,,,,,,,
1733,,,173196.32,14258.02667,,,,,,,,,,,,,1607.303468,,,,,,,,,,,,
1734,,,173196.32,14258.02667,,,,,,,,,,,,,,1029.724469,,,,,,,,,,,
1735,,,173196.32,14258.02667,,,,,,,,,,,,,1563.512893,,,,,,,,,,,,
1736,,,,,,,,,,,,,4288.63,,,,,,,,,,,,,,,,
1737,,,14089102.0,,,,,,,,,,4288.63,,,,,,,,,,,,,,,,
1738,,,,,,,,,,,,,4288.63,,,,,,,,,,,,,,,,
1739,,,,,,,,,,,,,4288.63,,,,,,,,,,,,,,,,
1740,,,,,,,,,,,,,4288.63,,,,,,,,,,,,,,,,
1741,,,,,,,,,,,,,4288.63,,,,,,,,,,,,,,,,
1742,,,,,,,,,,,,,4288.63,,,,,,,,,,,,,,,,
1743,,,,,,,,,,,,,4288.63,,,,,,,,,,,,,,,,
1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,,,,,,,,,,707.0,,,,,,,,,,,,,,,,,,,
1747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,
1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
1755,,,,,,,,,,,,1952.0,,,,,,,,,,,,,,,,,
1756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,
1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,,,,,,,,,,,,,,,,48173.0,,,,,,,,,,,,,
1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776,,,,,,,,,,708.0,,,,,,,,,,,,,,,,,,,
1777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,,,,,,803.0,,,,,,,,,,,,,,,,,,,,,,,
1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,,,,,,,,,,,,,4685.34,,,,,,,,,,,,,,,,
1785,,,,,,,,,,,,,4685.34,,,,,,,,,,,,,,,,
1786,,,,,,,,,,,,,4685.34,,,,,,,,,,,,,,,,
1787,,,,,,,,,,,,,4685.34,,,,,,,,,,,,,,,,
1788,,,,,,,,,,,,,4685.34,,,,10000.0,,,,,,,,,,,,
1789,,,,,,,,,,,,,4685.34,,,900.1733535,,,,,,,,,,,,,
1790,,,,,,,,,,,,,4685.34,,,900.1733535,,,,,,,,,,,,,
1791,,,,,,,,,,,,,4685.34,,,900.1733535,,,,,,,,,,,,,
1792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
1802,,,,,1388.0,,,,,,,,,,,,,,,,,,,,,,,,
1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,,,,,,,,,,,,,,,,9402.0,,,,,,,,,,,,,
1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,,,,,,102.0,,,,,,,,,,,,,,,,,,,,,,,
1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,,,,,,,,,,,,1197.0,,,,,,,,,,,,,,,,,
1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,,,,,,,,,,,,,,,,17975.0,,,,,,,,,,,,,
1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,,,,,,,,,,,,,,,,,,882.0514122,,,,,,,,,,,
1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,,,,,,,,,,,,,,,,,,846.1058877,,,,,,,,,,,
1827,,,,,,,,,,,,,,,,,,794.5719885,,,,,,,,,,,
1828,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,
1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,,,,,,,,,,,,,,,,,,959.5553002,,,,,,,,,,,
1831,,,,,,,,,,,,,,,,,1121.798496,,,,,,,,,,,,
1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
1838,,,,,,249.0,,,,,,,,,,,,,,,,,,,,,,,
1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,,,,,,,,,,,,,,,,,,958.5570338,,,,,,,,,,,
1849,,,,,,,,,,,,,,,,,,1019.351101,,,,,,,,,,,
1850,,,,,,,,,,,,,,,,,,912.5053987,,,,,,,,,,,
1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,,,,,,,,,,,,,,,,,716.3027906,,,,,,,,,,,,
1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,,,,,,,,,,,,,,,,,,846.5090132,,,,,,,,,,,
1855,,,,,,,,,,,,,,,,,,1102.103435,,,,,,,,,,,
1856,,,,,,,1352.0,,,,,,,,,,,,,,,,,,,,,,
1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,,,,,,986.0,,,,,,,,,,,,,,,,,,,,,,,
1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,
1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,,,,,1429.0,,,,,,,,,,,,,,,,,,,,,,,,
1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,,,,,,1426.0,,,,,,,,,,,10000.0,,,,,,,,,,,,
1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,,,,,,,,,,,,,,,,61847.0,,,,,,,,,,,,,
1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,,,,,,,,,,,,,4736.25,,,,,,,,,,,,,,,,
1873,,,,,,,,,,,,,4736.25,,,,,,,,,,,,,,,,
1874,,,,,,,,,,,,,4736.25,,,,,,,,,,,,,,,,
1875,,,873048.0,,,,,,,,,,4736.25,,,,,,,,,,,,,,,,
1876,,,,,,,,,,,,,4736.25,,,,723.5645616,,,,,,,,,,,,
1877,,,,,,,,,,,,,4736.25,,,,,,,,,,,,,,,,
1878,,,,,,,,,,,,,4736.25,,,,,,,,,,,,,,,,
1879,,,,,,,,,,,,,4736.25,,,,,,,,,,,,,,,,
1880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,,2056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,,-500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,,,,,,,5199.0,,,,,,,,,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,
1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,
1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,
1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,,,,,1332.0,,,100.0,,,,,,,,,,,,,,,,,,,,,
1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,,,,,,211.0,,,,,,,,,,,,,,,,,,,,,,,
1916,,,,,,,,,,3815.0,,,,,,,10000.0,,,,,,,,,,,,
1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
1920,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,
1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,
1929,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,
1930,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,
1931,,,,,,,3801.0,,57.0,,,,,,,,,,,,,,,,,,,,
1932,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,
1933,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,
1934,,,,,1588.0,,,,59.0,,,,,,,,,,,,,,,,,,,,
1935,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,
1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,,,,,,,,,,,,,,,,5328.0,,,,,,,,,,,,,
1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,,,,,,1432.0,,100.0,,,,,,,,,,,,,,,,,,,,,
1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,
1944,,,,,,,,,,,,,,,,,,799.0311421,,,,,,,,,,,
1945,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,
1946,,,,,,,,,,,,,,,,,,846.9480883,,,,,,,,,,,
1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
1949,,,,,,,,,,,,,,,,,,807.3453967,,,,,,,,,,,
1950,,,,,,,,,,,,,,,,,679.7908355,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,791.0182797,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,850.1719107,1288.99644,,,,,,,,,,,,
1975,,,,,,,,,,,,,,,,850.1719107,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,7508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,599.8560026,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,2339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,5721.0,,,,,,,,,,,812.6602841,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,876.8718422,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,832.5705577,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
